Manufacturer,Title (AKA -combo_field),sku (AKA - Model Name),list_price,sale_price,Product Alert (currently called Short Description),Product Description,features,specifications,What's in the box,call_for_sale_quote,manufacturer_id,manufacturer model id,Product number 2014
Vaddio,Vaddio 999-5625-000 ProductionVIEW HD MV,999-5625-000,10995,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >ProductionVIEW HD MV Camera Control Console with Multiviewer Capability<BR>18 VDC Power Supply with AC Power Cord<BR>Documentation </SPAN>",1,196,VA-999-5625-000
Steadicam,"Steadicam PILOT-AB Sled, Vest, Arm, Back Pack Transport, AB-Mount, 5.8” LCD",PILOT-AB,2995,,,"The Steadicam Pilot-AB is a light stabilizer system designed for light cameras between 2 lbs and 10 lbs. The Pilot AB features a carbon fiber expandable post, a 5.8” color LCD monitor, a low profile lightweight vest, and a secure locking stage plate. ","<SPAN STYLE= """" >Sled<BR>Arm<BR>Lightweight Standard Vest<BR>AB-Mount<BR>5.8&quot; Color Standard Definition LCD Monitor <BR>Backpack Transport<BR>Secure Locking Stage Plate</SPAN>",###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Steadicam Pilot-AB Camera Stabilization System<BR>Vest<BR>Arm<BR>Sled<BR>Back Pack Transport<BR>5.8&quot; LCD Monitor<BR>AB Battery Mount<BR>Counter Weights<BR>Manual<BR>1 Year Parts, 6 Months Labor Warranty</SPAN>",1,261,STD-PILOT-AB
Lowel,Lowel DV-903LBZ Lowel DV Creator 55 Kit w/Soft Case,DV-903LBZ,1970,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >500w Rifa eX 55 Softlight<BR>Focusable Omni-light<BR>Focusable Pro-light</SPAN>","<SPAN STYLE= """" >Size: 30.5 x 11.5 x 8.5&quot; <BR>(77.5 x 29.2 x 21.6 cm)<BR>Weight: 33 lbs (14.8 kg)</SPAN>",###############################################################################################################################################################################################################################################################,1,169,LO-DV-903LBZ
Lowel,Lowel BLN-9340LB Lowel Blender 3 Light Kit,BLN-9340LB,2050,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Blender Lights with 2 Sets of LED&rsquo;s in Tungsten and Daylight Color<BR>3 Uni Stands</SPAN>","<SPAN STYLE= """" >Size: 23 x 9 x 6 (58 x 23 x 15 cm)<BR>Weight: 17 lbs (7.7 kg)</SPAN>","<SPAN STYLE= """" >3 Lowel Blenders complete <BR>3 Lowel Uni-stands <BR>1 Slim Litebag </SPAN>",1,169,LO-BLN-9340LB
Lowel,Lowel TORP-955 Super Ambi Kit,TORP-955,3295,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >2 Tota-lights<BR>2 Omni-lights<BR>1 500w Rifa eX Softlight<BR>1 Pro-light </SPAN>","<SPAN STYLE= """" >Size: 9.5 x 17 x 9.75&quot; <BR>(74.9 x 43.4 x 24.8 cm) <BR>Weight: 57 lbs (25.9 kg)</SPAN>",###############################################################################################################################################################################################################################################################,1,169,LO-TORP-955
Sound Devices,Sound Devices PIX 240i Kit,PIX 240i Kit,5212,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,72,SNDD-PIX 240i Kit
Sony Electronics Inc,Sony HXCD70K Multi Transmission Camera System,HXCD70K,19550,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-HXCD70K
Sony Electronics Inc,Sony BRCH900 HD 1/2 type 3CMOSs P/T/Z Color Video Camera,BRCH900,9860,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-BRCH900
Sony Electronics Inc,Sony RMB750 Remote Control Unit,RMB750,5200,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Arial';font-size: 12px;color: #303030;"" >Compact unit<BR>Memory Stick card slot for setup parameter storage<BR>LCD touch screen<BR>Designed to establish a highly mobile and fully controllable camera system in the field</SPAN>",###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Sony RMB-750 Remote Control Unit</SPAN>",1,1,SON-RMB750
Sony Electronics Inc,"Sony AXSA512S24 A-Series, 512GB capacity,  AXS Memory card for use with AXS-R5 RAW recording system",AXSA512S24,2120,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,,1,1,SON-AXSA512S24
Sony Electronics Inc,Sony AXS512S24 AXS Memory for RAW Recording for AXS-R5,AXS512S24,2117.65,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Arial';font-size: 12px;color: #303030;"" >512GB Memory Card for AXS Recording System<BR>High Data Security and Reliability<BR>Exceptional writing speeds &ndash; up to 2.4 Gbps<BR>Compact Removable Media&quot;</SPAN>",,,1,1,SON-AXS512S24
Sony Electronics Inc,Sony ACDN10 AC Adaptor/Charger,ACDN10,757,,,The AC-DN10 is a compact and lightweight AC adaptor/charger. Maximum 100W DC power supply and has a V-mount mechanism for direct attachment to compatible camcorders.,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-ACDN10
Sony Electronics Inc,Sony RMB170 Handheld remote control unit,RMB170,1950,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,,1,1,SON-RMB170
Sony Electronics Inc,Sony PDWU2 USB 3.0 XDCAM Disc Drive,PDWU2,4229.35,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-PDWU2
Sony Electronics Inc,Sony PXWZ100 4K Handheld XDCAM Memory Camcorder,PXWZ100,5699,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-PXWZ100
Sony Electronics Inc,Sony NEXFS700RH 4K Sensor High Speed NXCAM Super35 Camcorder with 18 to 200mm Power Zoom Lens,NEXFS700RH,7499,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-NEXFS700RH
Sony Electronics Inc,Sony PMW400KCE PMW-400K with the CBK-CE01 50pin Interface Pre-Installed,PMW400KCE,19980,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-PMW400KCE
Sony Electronics Inc,Sony HXCD70H Multi Transmission Camera System,HXCD70H,14450,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-HXCD70H
Sony Electronics Inc,"Sony PMW400L XDCAM EX 2/3""-type Shoulder-mount Camcorder without Lens",PMW400L,16250,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-PMW400L
Sony Electronics Inc,Sony PVMA250 25-inch Professional OLED Picture Monitor,PVMA250,6899.99,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-PVMA250
Sony Electronics Inc,Sony NEXFS700R 4K Sensor High Speed NXCAM Super35 Camcorder (body only),NEXFS700R,6799,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-NEXFS700R
Sony Electronics Inc,Sony SRG300H 30x 1080p/60 HD Pan/Tilt/Zoom Camera - Black,SRG300H,3099,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-SRG300H
Sony Electronics Inc,Sony EVIH100V 1080p HD DVI P/T/Z camera – Black,EVIH100V,3499,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,,1,1,SON-EVIH100V
Tascam,Tascam DR-40 Handheld 4-Track Recorder,DR-40,279.99,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Tascam DR-40 4-Track Handheld Digital Audio Recorder<BR>Mini USB Cable<BR>2GB SD Card<BR>3 x AA Batteries<BR>Limited Warranty: 1-Year Parts; 90-Days Labor<BR></SPAN>",1,16,TA-DR-40
Sony Electronics Inc,Sony NEXVG30H Interchangeable Lens HD Camcorder & Lens,NEXVG30H,2699.99,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >16.1MP Exmor&reg; APS-C HD CMOS sensor<BR>Direct power zoom w/ variable zoom speed control<BR>XGA OLED electronic viewfinder<BR>Quad Capsule Spatial Array Surround mic (5.1 channel)<BR>E-mount 18-200mm zoom lens included</SPAN>",###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,1,SON-NEXVG30H
Sony Electronics Inc,Sony QDS64E 64GB High Speed XQD Memory Card,QDS64E,369.99,,,"XQD S-Series Memory Card is the best performing XQD card for 4K users. Its outstanding read/write speed of 180MB/s(1) perfectly matches the requirements of PXW-Z100’s users. Tough and durable media ",###############################################################################################################################################################################################################################################################,,,1,1,SON-QDS64E
Sony Electronics Inc,Sony ECM77B Omni-Directional Electret Condenser Mic,ECM77B,512,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Arial';font-size: 12px;color: #303030;"" >High-performance frequency response:&#9;40 -20,000 Hz<BR>Black finish&#9;<BR>Two-way powering system:&#9;AA-size battery or external power supply</SPAN>",###############################################################################################################################################################################################################################################################,,1,1,SON-ECM77B
Sony Electronics Inc,Sony ECM673/9X Shotgun Microphone,ECM673/9X,357,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Arial';font-size: 12px;color: #303030;"" >Uni-directional (Super Cardiod) Electret Condenser Shotgun Microphone, Phantom Powered</SPAN>",###############################################################################################################################################################################################################################################################,,1,1,SON-ECM673/9X
Shape,Shape SF5-F55BR SONY F5-F55 BUNDLE RIG,SF5-F55BR,2499,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,"<SPAN STYLE= """" >SHAPE BP7000 V-Lock Quick-Release Baseplate Kit for Sony F5/F55 Cameras<BR>BP7000 V-Lock Quick-Release Baseplate Kit<BR>SHAN-TM700 Quick-Release Tripod Adapter<BR>Top Handle Kit for Sony F5/F55 Camera<BR>Limited Lifetime Warranty</SPAN>",1,1214,SHPE-SF5-F55BR
Shape,Shape SU3100 SUMO I,SU3100,469,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >SHAPE SUMO I<BR>SU Shoulder Rig<BR>Quick Handle + Rod Block<BR>Back Pad<BR>Lifetime Warranty</SPAN>",1,1214,SHPE-SU3100
Sennheiser,Sennheiser MKH416-P48 Supercardioid/lobe condenser (short shotgun) condenser,MKH416-P48,1249,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Microsoft Sans Serif';font-size: 14px;color: #323232;"" >Pressure gradient receiver with short interference tube<BR>Hypercardioid at low and medium frequency<BR>Above 2kHz approaches lobar pattern</SPAN>",###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Microsoft Sans Serif';font-size: 14px;color: #323232;"" >1 MKH 416 P 48 U 3<BR>1 MZW 415 windshield<BR>1 MZQ 100 microphone clamp</SPAN>",1,12,SENN-MKH416-P48
Sennheiser,Sennheiser ME66 Short shotgun capsule head for K6 Series,ME66,269,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Super-cardioid/lobar pick-up pattern<BR>Highly directional<BR>Low inherent self-noise<BR>High sensitivity<BR>Wide frequency response</SPAN>",###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >ME66 Short shotgun capsule head</SPAN>",1,12,SENN-ME66
Sennheiser,Sennheiser K6 Powering module for K6 Series Capsules,K6,319,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Switchable bass roll-off filter protects against rumble, handling, pop and wind noise<BR>On/off switch with battery test<BR>High output, low noise<BR>Transformerless balanced output on 3-pin XLR connector</SPAN>",###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >1 K6 powering module<BR>1 MZQ 200 microphone clamp<BR>1 AA battery<BR>1 protective carrying case</SPAN>",1,12,SENN-K6
Sennheiser,Sennheiser ME67 Long shotgun capsule head for K6 Series,ME67,379,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Microsoft Sans Serif';font-size: 14px;color: #323232;"" >Highly directional<BR>Very low inherent self-noise<BR>High sensitivity factor<BR>Wide frequency response</SPAN>",###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >ME67 Long shotgun capsule head</SPAN>",1,12,SENN-ME67
Redrock Micro,Redrock Micro 8-003-0043 microMatteBox Deluxe Bundle,8-003-0043,995,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Weight&#9; 3.69 lbs (1.67kg)<BR>Materials&#9; Aircraft Grade Aluminum <BR>Filter Type&#9; 4x4&quot;, 4x5.65&quot;<BR>Degree of Rotation&#9; 360&deg;</SPAN>",###############################################################################################################################################################################################################################################################,1,504,RRM-8-003-0043
Redrock Micro,Redrock Micro 3-066-0011 microFollowFocus,3-066-0011,595,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >One microFollowFocus follow focus unit<BR>Setup and operating instructions</SPAN>",1,504,RRM-3-066-0011
Redrock Micro,Redrock Micro 3-066-0001 microFollowFocus Black Professional Series,3-066-0001,795,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Arial';font-size: 13px;color: #555555;"" >One microFollowFocus Black follow focus unit<BR>3D marking Disk<BR>Setup and operating instructions</SPAN>",1,504,RRM-3-066-0001
Prompter People,Prompter People UL-IPAD Prompter People iPad Teleprompter UL-iPad,UL-IPAD,599,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,185,PP-UL-iPAD
Porta Brace,Porta Brace DVO-3R Digital Video Organizer | Black | Large,DVO-3R,429,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Georgia';font-size: 12px;"" >12 pockets for extra storage<BR>Carry your camera and matte box together<BR>Narrow to Wide Design to Accomodate Matte Boxes<BR>Rigid frame for maximum protection</SPAN>","<SPAN STYLE= """" >Weight: 9.15 lb / 4.15 kg<BR>Interior: 18.5&quot; x 12&quot; x 9.5&quot; / 46.99 x 30.48 x 24.13 cm<BR>Exterior: 25&quot; x 15&quot; x 13&quot; / 63.50 x 38.10 x 33.02 cm</SPAN>",###############################################################################################################################################################################################################################################################,1,21,PB-DVO-3R
Porta Brace,Porta Brace CO-AB-M Carry-On Camera Case | Shoulder Mount Cameras | Blue,CO-AB-M,309,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Weight: 5.60 lb / 2.54 kg<BR>Interior: 29&quot; x 7&quot; x 12&quot; / 73.66 x 17.78 x 30.48 cm<BR>Exterior: 29.5&quot; x 9.5&quot; x 13.5&quot; / 74.93 x 24.13 x 34.29 cm</SPAN>","<SPAN STYLE= ""font-family: 'Georgia';font-size: 12px;"" >1x CARA-BRNZCarabiner &amp; Flashlight<BR><BR>1x CC-STUFFER Camera Case Stuffer Pillow<BR><BR>1x HB-1040 Suede Shoulder Strap<BR><BR>1x WBC White Balance C</SPAN><SPAN STYLE= """" >ard</SPAN>",1,21,PB-CO-AB-M
Porta Brace,Porta Brace DVO-C3500 Digital Video Organizer | Canon C300 & C500 | Black,DVO-C3500,309,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Georgia';font-size: 12px;"" >1000-denier Cordura material<BR>Slip-resistant, easy-clean rubber bottom<BR>Hollow-core, lightweight rigid frame<BR>Two large side pockets<BR>White balance card is included</SPAN>","<SPAN STYLE= """" >Weight: 6.80 lb / 3.08 kg<BR>Interior: 17&quot; x 7&quot; x 9.5&quot; / 43.18 x 17.78 x 24.13 cm<BR>Exterior: 23.25&quot; x 9&quot; x 11&quot; / 59.06 x 22.86 x 27.94 cm<BR><BR><BR><BR><BR><BR><BR><BR></SPAN>","<SPAN STYLE= """" >1x CS-B9 Camcorder Stuff Pocuh<BR><BR>1x CS-CR-CINCH Cam-Corder Cinch<BR><BR>1x HB-1040 Suede Shoulder Strap<BR><BR>1x WBC White Balance Card<BR><BR>1x PB-4LC 4-inch Lens Cup<BR><BR>1x DK-C26LENS Bendable Divider<BR><BR></SPAN>",1,21,PB-DVO-C3500
Porta Brace,Porta Brace CTC-3 Traveler Camera Case | Blue | Large,CTC-3,289,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Weight: 5.10 lb / 2.31 kg<BR>Interior: 22&quot; x 6.5&quot; x 10&quot; / 55.88 x 16.51 x 25.40 cm<BR>Exterior: 24&quot; x 11.25&quot; x 12&quot; / 60.96 x 28.58 x 30.48 cm<BR><BR><BR><BR><BR><BR></SPAN>","<SPAN STYLE= """" >1x CARA-BRNZ Carabiner &amp; Flashlight<BR><BR>1x CC-STUFFER Camera Case Stuffer Pillow<BR><BR>1x HB-1040 Suede Shoulder Strap<BR><BR>1x WBC White Balance Card</SPAN>",1,21,PB-CTC-3
Porta Brace,Porta Brace RS-PMWF55 Rain Slicker | Sony F55 | Black,RS-PMWF55,259,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Weight: 0.75 lb / 0.34 kg</SPAN>","<SPAN STYLE= """" >Porta Brace RS-PMWF55 Rain Slicker for Sony PMW-F5 / F55 Cinema Camera<BR>Interchangeable Front-End Attachments<BR>Long-Lens Cover Attachment</SPAN>",1,21,PB-RS-PMWF55
Porta Brace,Porta Brace AR-7B Audio Recorder Case | Sound Devices | Black,AR-7B,219,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Georgia';font-size: 12px;"" >Weight: 0.50 lb / 0.23 kg<BR>Exterior: 12&quot; x 3.5&quot; x 9.5&quot; / 30.48 x 8.89 x 24.13 cm</SPAN>","<SPAN STYLE= ""font-family: 'Georgia';font-size: 12px;"" >1x CARA-BRNZ Carabiner &amp; Flashlight<BR><BR>1x HB-15 Mini-DV Camera Strap<BR><BR>1x RM-MULTI Wireless Microphone Ca</SPAN><SPAN STYLE= """" >se</SPAN>",1,21,PB-AR-7B
Marshall Broadcast,Marshall Broadcast V-LCD70XHB-3GSDI-PV 7' HDSDI on Camera High Brightness Monitor,V-LCD70XHB-3GSDI-PV,1299,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Marshall Electronics 7&quot; Field / Camera-Top LCD Monitor (PV - Panasonic)<BR>V-PS12-5V-XLR Power Supply<BR>PV (Panasonic) Battery Adaptor<BR>Operating Instructions<BR>Limited 1-Year Warranty </SPAN>",1,159,MRSH-V-LCD70XHB-3GSDI-PV
Marshall Broadcast,"Marshall Broadcast V-LCD15SB-AFHD-DT 15"" Outdoor Monitor",V-LCD15SB-AFHD-DT,2999,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Marshall Broadcast V-LCD15SB-AFHD-DT 15&quot; Outdoor Monitor</SPAN>",1,159,MRSH-V-LCD15SB-AFHD-DT
Marshall Broadcast,"Marshall Broadcast M-CT7-CE6 7"" TFT LCD HDMI LED Backlight Camera Top Monitor w Canon LP-E6 Battery Assembly",M-CT7-CE6,328,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Times';font-size: 12px;"" >Standard Mini HDMI to HDMI cable <BR>HDMI to HDMI cable <BR>A/V Cable <BR>Power Supply <BR>Car Charger <BR>Remote Control <BR>Hot shoe mount <BR>Battery <BR>Battery Charger <BR>User manual</SPAN>",1,159,MRSH-M-CT7-CE6
Marshall Broadcast,"Marshall Broadcast V-LCD70XHB-3GSDI 7"" on Camera High Brightness Monitor",V-LCD70XHB-3GSDI,1269,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Marshall Electronics 7&quot; Field / Camera-Top LCD Monitor with 3G-SDI Loop-Through<BR>V-PS12-5V-XLR <BR>Power Supply<BR>Operating Instructions<BR>Limited 1-Year Warranty,</SPAN>",1,159,MRSH-V-LCD70XHB-3GSDI
Manfrotto,"Manfrotto 509HD,545BK 509HD Head & 545B tripod system w/bag","509HD,545BK",1840,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Bridging Technology<BR>Aluminum Legs<BR>Middle Spreader <BR>100mm Fluid Head</SPAN>",###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Manfrotto 509HD Video Head with 545B Tripod Legs<BR>Mid-spreader<BR>Padded Bag</SPAN>",1,30,"BMN-509HD,545BK"
Manfrotto,Manfrotto 504HD 504HD Pro Fluid Video Head 75mm half ball,504HD,520,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Made of Aluminum <BR>Supports 16.5 lbs (7.5kg)<BR>Back-Lit Bubble Level<BR>4 Step Counterbalance System<BR>75 mm Half ball <BR></SPAN>",###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Manfrotto 504HD Fluid Video Head<BR>504HLV Pan Handle<BR>504PLONG Long Quick-Release Mounting Plate<BR>2-Year Warranty</SPAN>",1,30,BMN-504HD
