Manufacturer,Title (AKA -combo_field),sku (AKA - Model Name),list_price,sale_price,Product Alert (currently called Short Description),Product Description,features,specifications,What's in the box,call_for_sale_quote,manufacturer_id,manufacturer model id,Product number 2014
Sennheiser,Sennheiser ew 100 ENG G3 Wireless Microphone Combo System - A (516-558 MH,EW100ENGG3-A,999,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,12,SENN-EW100ENGG3-A
Shape,Shape COMPOSTAB COMPOSITE STABILIZER,COMPOSTAB,1049,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Assembled Depth ( in Inches )&#9;Min. 22 in. - Max. 29.5 in<BR>Assembled Height ( in Inches )&#9;Min. 6 in. - Max. 9.75 in.<BR>Assembled Weight ( in LBS )&#9;6.4 lb.<BR>TECHNIQUES<BR><BR>Dimensions&#9;12.5 in</SPAN>",###############################################################################################################################################################################################################################################################,1,1214,SHPE-COMPOSTAB
Zeiss,Zeiss 1984-031 CZ.2 70-200/T2.9 PL - feet,1984-031,19900,19900,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Zeiss 70-200mm T2.9 Compact Zoom CZ.2 Lens (PL Mount)<BR>Interchangeable PL Mount</SPAN>",0,66,ZS-1984-031
Canon USA,Canon 5260B009 EOS 5D Mark III EF 24–105mm IS Kit,5260B009,5100,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,29,CA-5260B009
Sony Electronics Inc,Sony NEXFS700U 4K Ready NXCAM Super 35mm Camcorder (body only),NEXFS700U,,7499,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,0,1,SON-NEXFS700U
Sony Electronics Inc,Sony NEXFS700UK Ready NXCAM Super 35mm Camcorder (with Lens),NEXFS700UK,9137.33,8099,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,0,1,SON-NEXFS700UK
"BlackMagic Design",BlackMagic Design BMD-SWATEMTVSTU ATEM Television Studio,BMD-SWATEMTVSTU,995,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Blackmagic Design ATEM Television Studio Production Switcher<BR>Software<BR>12V/2.5A Power Supply with International Plugs<BR>1 Year Limited Warranty</SPAN>",1,83,BMD-BMD-SWATEMTVSTU
"BlackMagic Design",BlackMagic Design BMD-SWPANEL1ME ATEM 1 M/E Broadcast Panel,BMD-SWPANEL1ME,4995,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Times';font-size: 13px;color: #464646;"" >Ideal for 24/7 Production Environments<BR>High Quality Buttons / Knobs / Controls<BR>Connection using an Ethernet Cable<BR>Loop Thru Connection<BR>Rack Mountable</SPAN>",###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Times';font-size: 12px;color: #323232;"" >ATEM 1 M/E Broadcast Panel<BR>Software CD<BR>Power Supply</SPAN>",1,83,BMD-BMD-SWPANEL1ME
"BlackMagic Design",BlackMagic Design BMD-TERANEX2D422 Teranex 2D Processor,,1995,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Teranex 2D Processor<BR>Software CD</SPAN>",1,83,BMD-BMD-TERANEX2D422
Litepanels,Litepanels 906-1002,906-1002,795,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,89,BLP-906-1002
TVLogic,"TVLogic VFM-056WP VFM-056W features plus 3Gb HD-SDI, Y level Check, Waveform/Vector and HDMI-to-HDSDI converted output",VFM-056WP,1295,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >TVLogic VFM-056WP 5.6&quot; 3G-SDI Viewfinder Monitor<BR>Camera Mount<BR>AC Power Cord<BR>BNC Connector (Angle Type)<BR>DC Power Adapter</SPAN>",1,1092,TVL-VFM-056WP
